"ID","Tram","ThoiGian","ViDo","KinhDo","KhoangCach","HuongGoc","Goc","DiaHinh_Cao","DiaHinh_DoDoc","DiaHinh_HuongDoc","DiaHinh_Xa","DiaHinh_MaXa","DiaHinh_Huyen","DiaHinh_MaHuyen","DiaHinh_Tinh","DiaHinh_MaTinh","LDLR","SLDLR","Lo","Khoanh","TieuKhu","MGo","MDSD","NhietDo","DoAm","TocDoGio","ChisoP","NguyCo","DoCaoDamChay","TocDoLanTran","DuongKinh","KhoangCachTiepCan","PhuongPhap","ChienLuoc","ChienThuat","KyThuat","NhanLuc","PhuongTien","ChuRung","ImagePath"
13,ESTEC,"16 giờ 52 phút ngày 27/08/2025","21.28036500260076","105.81740065145527","98.5124789813103",Đông Bắc,"30","63.0","13.765229431152076","305.5376777919744",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"65","17","409","53.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.02","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke13.jpg
14,ESTECGate,"16 giờ 52 phút ngày 27/08/2025","21.28036500260076","105.81740065145527","98.5124789813103",Đông Bắc,"30","63.0","13.765229431152076","305.5376777919744",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"65","17","409","53.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke14.jpg
7,ESTEC,"16 giờ 57 phút ngày 27/08/2025","21.273343205667683","105.81334654250433","788.1037119892925",Tây Bắc,"210","59.0","13.28827696788542","317.7927023657133",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"139","19","409","55.7",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.02","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke7.jpg
8,ESTEC,"17 giờ 00 phút ngày 27/08/2025","21.28036500260076","105.81740065145527","98.5124789813103",Đông Bắc,"30","63.0","13.765229431152076","305.5376777919744",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"65","17","409","53.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.02","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke8.jpg
10,ESTECGate,"17 giờ 03 phút ngày 27/08/2025","21.281386594357738","105.82007101702142","380.3949870090939",Đông,"60","66.0","20.27376470148941","187.59464336859142",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"59","17","409","83.0",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke10.jpg
12,SocSon,"16 giờ 12 phút ngày 28/08/2025","21.278584770217254","105.82405830899995","840.1170721504776",Đông Nam,"90","60.0","22.237833229883023","211.15930450834438",Phù Linh,"400",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"29","17","400","73.5",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke12.jpg
16,SocSon,"14 giờ 32 phút ngày 29/08/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke16.jpg
18,SocSon,"15 giờ 37 phút ngày 30/08/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke18.jpg
21,SocSon,"06 giờ 51 phút ngày 01/09/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke21.jpg
25,SocSon,"08 giờ 29 phút ngày 02/09/2025","21.278584770217254","105.82405830899995","840.1170721504776",Đông Nam,"90","60.0","22.237833229883023","211.15930450834438",Phù Linh,"400",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"29","17","400","73.5",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke25.jpg
